Student Name: William Collins
line 1: op1 = -489.11, op2 = 432.89, op = '+', result = -56.219
line 812: op1 = -20.61, op2 = -100.10, op = '+', result = -120.709
line 801: op1 = 172.00, op2 = -268.00, op = '*', result = -46096.831
line 799: op1 = 789.90, op2 = -677.06, op = '-', result = 1466.963
line 793: op1 = 220.57, op2 = 50.26, op = '/', result = 4.389
line 813: op1 = -487.15, op2 = -98.59, op = '+', result = -585.741
line 794: op1 = -3.22, op2 = 19.30, op = '/', result = -0.167
line 800: op1 = 5.62, op2 = -222.02, op = '-', result = 227.644
line 802: op1 = -160.41, op2 = -275.41, op = '*', result = 44178.008
line 814: op1 = 6.79, op2 = 15.91, op = '+', result = 22.704
line 795: op1 = 9.68, op2 = 161.78, op = '/', result = 0.060
line 801: op1 = 172.00, op2 = -268.00, op = '-', result = 440.004
line 803: op1 = -7.44, op2 = 7.44, op = '*', result = -55.412
line 815: op1 = 62.45, op2 = 430.89, op = '+', result = 493.335
line 796: op1 = -34.34, op2 = -367.90, op = '/', result = 0.093
line 802: op1 = -160.41, op2 = -275.41, op = '-', result = 115.008
line 804: op1 = 82.62, op2 = -171.60, op = '*', result = -14177.319
line 816: op1 = 447.79, op2 = -243.65, op = '+', result = 204.140
line 797: op1 = 116.12, op2 = 184.93, op = '/', result = 0.628
line 803: op1 = -7.44, op2 = 7.44, op = '-', result = -14.888
line 805: op1 = 340.76, op2 = -601.33, op = '*', result = -204908.712
line 804: op1 = 82.62, op2 = -171.60, op = '-', result = 254.216
line 817: op1 = 360.36, op2 = 810.81, op = '+', result = 1171.167
line 798: op1 = -23.80, op2 = -39.67, op = '/', result = 0.600
line 806: op1 = 223.89, op2 = -211.09, op = '*', result = -47260.299
line 805: op1 = 340.76, op2 = -601.33, op = '-', result = 942.091
line 818: op1 = -220.44, op2 = -412.12, op = '+', result = -632.559
line 799: op1 = 789.90, op2 = -677.06, op = '/', result = -1.167
line 807: op1 = 508.78, op2 = -114.89, op = '*', result = -58452.703
line 806: op1 = 223.89, op2 = -211.09, op = '-', result = 434.977
line 819: op1 = 386.36, op2 = 228.96, op = '+', result = 615.319
line 808: op1 = -175.50, op2 = -155.56, op = '*', result = 27300.646
line 807: op1 = 508.78, op2 = -114.89, op = '-', result = 623.672
line 820: op1 = -166.54, op2 = -85.87, op = '+', result = -252.409
line 800: op1 = 5.62, op2 = -222.02, op = '/', result = -0.025
line 809: op1 = 73.17, op2 = 6.53, op = '*', result = 478.085
line 808: op1 = -175.50, op2 = -155.56, op = '-', result = -19.943
line 810: op1 = -802.08, op2 = 396.54, op = '*', result = -318054.276
line 821: op1 = -506.05, op2 = 617.78, op = '+', result = 111.725
line 801: op1 = 172.00, op2 = -268.00, op = '/', result = -0.642
line 809: op1 = 73.17, op2 = 6.53, op = '-', result = 66.641
line 811: op1 = 4.38, op2 = -105.15, op = '*', result = -460.730
line 822: op1 = -475.26, op2 = -117.42, op = '+', result = -592.681
line 802: op1 = -160.41, op2 = -275.41, op = '/', result = 0.582
line 810: op1 = -802.08, op2 = 396.54, op = '-', result = -1198.618
line 812: op1 = -20.61, op2 = -100.10, op = '*', result = 2062.935
line 823: op1 = 200.33, op2 = 213.26, op = '+', result = 413.592
line 803: op1 = -7.44, op2 = 7.44, op = '/', result = -1.000
line 811: op1 = 4.38, op2 = -105.15, op = '-', result = 109.536
line 813: op1 = -487.15, op2 = -98.59, op = '*', result = 48028.193
line 824: op1 = -455.55, op2 = -683.33, op = '+', result = -1138.875
line 804: op1 = 82.62, op2 = -171.60, op = '/', result = -0.481
line 812: op1 = -20.61, op2 = -100.10, op = '-', result = 79.491
line 805: op1 = 340.76, op2 = -601.33, op = '/', result = -0.567
line 814: op1 = 6.79, op2 = 15.91, op = '*', result = 108.076
line 825: op1 = 165.27, op2 = -661.08, op = '+', result = -495.809
line 813: op1 = -487.15, op2 = -98.59, op = '-', result = -388.561
line 806: op1 = 223.89, op2 = -211.09, op = '/', result = -1.061
line 815: op1 = 62.45, op2 = 430.89, op = '*', result = 26907.797
line 826: op1 = 112.86, op2 = -212.69, op = '+', result = -99.835
line 814: op1 = 6.79, op2 = 15.91, op = '-', result = -9.121
line 807: op1 = 508.78, op2 = -114.89, op = '/', result = -4.429
line 816: op1 = 447.79, op2 = -243.65, op = '*', result = -109104.782
line 827: op1 = -15.47, op2 = -18.05, op = '+', result = -33.517
line 815: op1 = 62.45, op2 = 430.89, op = '-', result = -368.440
line 808: op1 = -175.50, op2 = -155.56, op = '/', result = 1.128
line 817: op1 = 360.36, op2 = 810.81, op = '*', result = 292181.910
line 828: op1 = -93.10, op2 = -62.79, op = '+', result = -155.884
line 818: op1 = -220.44, op2 = -412.12, op = '*', result = 90846.853
line 816: op1 = 447.79, op2 = -243.65, op = '-', result = 691.442
line 809: op1 = 73.17, op2 = 6.53, op = '/', result = 11.200
line 829: op1 = 16.80, op2 = -83.99, op = '+', result = -67.189
line 819: op1 = 386.36, op2 = 228.96, op = '*', result = 88460.140
line 817: op1 = 360.36, op2 = 810.81, op = '-', result = -450.449
line 810: op1 = -802.08, op2 = 396.54, op = '/', result = -2.023
line 830: op1 = 97.10, op2 = -29.88, op = '+', result = 67.226
line 820: op1 = -166.54, op2 = -85.87, op = '*', result = 14300.749
line 818: op1 = -220.44, op2 = -412.12, op = '-', result = 191.684
line 811: op1 = 4.38, op2 = -105.15, op = '/', result = -0.042
line 831: op1 = 79.60, op2 = 85.73, op = '+', result = 165.327
line 821: op1 = -506.05, op2 = 617.78, op = '*', result = -312624.935
line 819: op1 = 386.36, op2 = 228.96, op = '-', result = 157.407
line 812: op1 = -20.61, op2 = -100.10, op = '/', result = 0.206
line 832: op1 = 537.02, op2 = 431.03, op = '+', result = 968.052
line 813: op1 = -487.15, op2 = -98.59, op = '/', result = 4.941
line 822: op1 = -475.26, op2 = -117.42, op = '*', result = 55804.441
line 820: op1 = -166.54, op2 = -85.87, op = '-', result = -80.667
line 833: op1 = 53.30, op2 = 273.63, op = '+', result = 326.929
line 814: op1 = 6.79, op2 = 15.91, op = '/', result = 0.427
line 823: op1 = 200.33, op2 = 213.26, op = '*', result = 42722.840
line 821: op1 = -506.05, op2 = 617.78, op = '-', result = -1123.825
line 834: op1 = 28.49, op2 = 109.39, op = '+', result = 137.882
line 815: op1 = 62.45, op2 = 430.89, op = '/', result = 0.145
line 824: op1 = -455.55, op2 = -683.33, op = '*', result = 311288.857
line 822: op1 = -475.26, op2 = -117.42, op = '-', result = -357.845
line 835: op1 = 22.86, op2 = -149.60, op = '+', result = -126.745
line 816: op1 = 447.79, op2 = -243.65, op = '/', result = -1.838
line 825: op1 = 165.27, op2 = -661.08, op = '*', result = -109256.236
line 823: op1 = 200.33, op2 = 213.26, op = '-', result = -12.925
line 826: op1 = 112.86, op2 = -212.69, op = '*', result = -24003.828
line 836: op1 = -278.70, op2 = 125.13, op = '+', result = -153.569
line 817: op1 = 360.36, op2 = 810.81, op = '/', result = 0.444
line 824: op1 = -455.55, op2 = -683.33, op = '-', result = 227.775
line 827: op1 = -15.47, op2 = -18.05, op = '*', result = 279.181
line 837: op1 = -365.82, op2 = 34.03, op = '+', result = -331.795
line 818: op1 = -220.44, op2 = -412.12, op = '/', result = 0.535
line 825: op1 = 165.27, op2 = -661.08, op = '-', result = 826.348
line 828: op1 = -93.10, op2 = -62.79, op = '*', result = 5845.286
line 838: op1 = 13.43, op2 = -21.21, op = '+', result = -7.777
line 819: op1 = 386.36, op2 = 228.96, op = '/', result = 1.688
line 826: op1 = 112.86, op2 = -212.69, op = '-', result = 325.549
line 829: op1 = 16.80, op2 = -83.99, op = '*', result = -1410.758
line 839: op1 = 632.38, op2 = -507.30, op = '+', result = 125.087
line 820: op1 = -166.54, op2 = -85.87, op = '/', result = 1.939
line 827: op1 = -15.47, op2 = -18.05, op = '-', result = 2.578
line 821: op1 = -506.05, op2 = 617.78, op = '/', result = -0.819
line 830: op1 = 97.10, op2 = -29.88, op = '*', result = -2901.265
line 840: op1 = -677.34, op2 = 517.97, op = '+', result = -159.375
line 828: op1 = -93.10, op2 = -62.79, op = '-', result = -30.311
line 822: op1 = -475.26, op2 = -117.42, op = '/', result = 4.048
line 831: op1 = 79.60, op2 = 85.73, op = '*', result = 6823.897
line 841: op1 = -99.35, op2 = 56.77, op = '+', result = -42.580
line 829: op1 = 16.80, op2 = -83.99, op = '-', result = 100.784
line 823: op1 = 200.33, op2 = 213.26, op = '/', result = 0.939
line 832: op1 = 537.02, op2 = 431.03, op = '*', result = 231472.560
line 842: op1 = -31.74, op2 = 10.08, op = '+', result = -21.662
line 830: op1 = 97.10, op2 = -29.88, op = '-', result = 126.982
line 824: op1 = -455.55, op2 = -683.33, op = '/', result = 0.667
line 833: op1 = 53.30, op2 = 273.63, op = '*', result = 14585.208
line 843: op1 = 224.31, op2 = -379.01, op = '+', result = -154.699
line 831: op1 = 79.60, op2 = 85.73, op = '-', result = -6.123
line 844: op1 = 481.13, op2 = 51.81, op = '+', result = 532.941
line 825: op1 = 165.27, op2 = -661.08, op = '/', result = -0.250
line 834: op1 = 28.49, op2 = 109.39, op = '*', result = 3116.407
line 832: op1 = 537.02, op2 = 431.03, op = '-', result = 105.991
line 826: op1 = 112.86, op2 = -212.69, op = '/', result = -0.531
line 835: op1 = 22.86, op2 = -149.60, op = '*', result = -3419.199
line 833: op1 = 53.30, op2 = 273.63, op = '-', result = -220.322
line 845: op1 = 27.85, op2 = 95.79, op = '+', result = 123.636
line 827: op1 = -15.47, op2 = -18.05, op = '/', result = 0.857
line 836: op1 = -278.70, op2 = 125.13, op = '*', result = -34873.603
line 834: op1 = 28.49, op2 = 109.39, op = '-', result = -80.906
line 846: op1 = 516.94, op2 = 833.78, op = '+', result = 1350.726
line 828: op1 = -93.10, op2 = -62.79, op = '/', result = 1.483
line 837: op1 = -365.82, op2 = 34.03, op = '*', result = -12449.105
line 835: op1 = 22.86, op2 = -149.60, op = '-', result = 172.456
line 847: op1 = -825.83, op2 = 301.19, op = '+', result = -524.647
line 836: op1 = -278.70, op2 = 125.13, op = '-', result = -403.829
line 829: op1 = 16.80, op2 = -83.99, op = '/', result = -0.200
line 838: op1 = 13.43, op2 = -21.21, op = '*', result = -284.882
line 848: op1 = 28.45, op2 = 11.98, op = '+', result = 40.423
line 837: op1 = -365.82, op2 = 34.03, op = '-', result = -399.855
line 830: op1 = 97.10, op2 = -29.88, op = '/', result = -3.250
line 839: op1 = 632.38, op2 = -507.30, op = '*', result = -320806.489
line 849: op1 = 226.16, op2 = 380.13, op = '+', result = 606.290
line 838: op1 = 13.43, op2 = -21.21, op = '-', result = 34.641
line 831: op1 = 79.60, op2 = 85.73, op = '/', result = 0.929
line 840: op1 = -677.34, op2 = 517.97, op = '*', result = -350843.724
line 850: op1 = -120.78, op2 = -110.99, op = '+', result = -231.763
line 839: op1 = 632.38, op2 = -507.30, op = '-', result = 1139.681
line 832: op1 = 537.02, op2 = 431.03, op = '/', result = 1.246
line 841: op1 = -99.35, op2 = 56.77, op = '*', result = -5640.657
line 833: op1 = 53.30, op2 = 273.63, op = '/', result = 0.195
line 851: op1 = 8.90, op2 = 16.20, op = '+', result = 25.100
line 840: op1 = -677.34, op2 = 517.97, op = '-', result = -1195.314
line 842: op1 = -31.74, op2 = 10.08, op = '*', result = -319.751
line 834: op1 = 28.49, op2 = 109.39, op = '/', result = 0.260
line 852: op1 = -6.19, op2 = -23.58, op = '+', result = -29.765
line 841: op1 = -99.35, op2 = 56.77, op = '-', result = -156.127
line 843: op1 = 224.31, op2 = -379.01, op = '*', result = -85017.153
line 835: op1 = 22.86, op2 = -149.60, op = '/', result = -0.153
line 853: op1 = 34.01, op2 = 187.04, op = '+', result = 221.047
line 842: op1 = -31.74, op2 = 10.08, op = '-', result = -41.812
line 844: op1 = 481.13, op2 = 51.81, op = '*', result = 24929.020
line 836: op1 = -278.70, op2 = 125.13, op = '/', result = -2.227
line 854: op1 = -70.59, op2 = 33.28, op = '+', result = -37.310
line 843: op1 = 224.31, op2 = -379.01, op = '-', result = 603.324
line 855: op1 = 142.26, op2 = -221.76, op = '+', result = -79.498
line 837: op1 = -365.82, op2 = 34.03, op = '/', result = -10.750
line 845: op1 = 27.85, op2 = 95.79, op = '*', result = 2667.348
line 844: op1 = 481.13, op2 = 51.81, op = '-', result = 429.314
line 856: op1 = 0.04, op2 = 0.34, op = '+', result = 0.378
line 838: op1 = 13.43, op2 = -21.21, op = '/', result = -0.633
line 846: op1 = 516.94, op2 = 833.78, op = '*', result = 431018.659
line 857: op1 = -51.47, op2 = -65.99, op = '+', result = -117.462
line 839: op1 = 632.38, op2 = -507.30, op = '/', result = -1.247
line 847: op1 = -825.83, op2 = 301.19, op = '*', result = -248729.553
line 845: op1 = 27.85, op2 = 95.79, op = '-', result = -67.944
line 858: op1 = 572.53, op2 = 669.10, op = '+', result = 1241.632
line 840: op1 = -677.34, op2 = 517.97, op = '/', result = -1.308
line 848: op1 = 28.45, op2 = 11.98, op = '*', result = 340.706
line 846: op1 = 516.94, op2 = 833.78, op = '-', result = -316.837
line 859: op1 = 230.90, op2 = -426.81, op = '+', result = -195.912
line 841: op1 = -99.35, op2 = 56.77, op = '/', result = -1.750
line 860: op1 = 67.66, op2 = -57.99, op = '+', result = 9.666
line 849: op1 = 226.16, op2 = 380.13, op = '*', result = 85969.658
line 847: op1 = -825.83, op2 = 301.19, op = '-', result = -1127.019
line 842: op1 = -31.74, op2 = 10.08, op = '/', result = -3.150
line 861: op1 = -271.86, op2 = -391.48, op = '+', result = -663.350
line 850: op1 = -120.78, op2 = -110.99, op = '*', result = 13404.575
line 848: op1 = 28.45, op2 = 11.98, op = '-', result = 16.469
line 843: op1 = 224.31, op2 = -379.01, op = '/', result = -0.592
line 862: op1 = 148.75, op2 = 374.84, op = '+', result = 523.590
line 851: op1 = 8.90, op2 = 16.20, op = '*', result = 144.173
line 849: op1 = 226.16, op2 = 380.13, op = '-', result = -153.979
line 844: op1 = 481.13, op2 = 51.81, op = '/', result = 9.286
line 863: op1 = -13.77, op2 = -25.48, op = '+', result = -39.247
line 852: op1 = -6.19, op2 = -23.58, op = '*', result = 145.912
line 850: op1 = -120.78, op2 = -110.99, op = '-', result = -9.793
line 853: op1 = 34.01, op2 = 187.04, op = '*', result = 6360.726
line 864: op1 = 240.50, op2 = 473.93, op = '+', result = 714.430
line 845: op1 = 27.85, op2 = 95.79, op = '/', result = 0.291
line 851: op1 = 8.90, op2 = 16.20, op = '-', result = -7.302
line 854: op1 = -70.59, op2 = 33.28, op = '*', result = -2348.881
line 865: op1 = -86.90, op2 = -208.55, op = '+', result = -295.451
line 846: op1 = 516.94, op2 = 833.78, op = '/', result = 0.620
line 852: op1 = -6.19, op2 = -23.58, op = '-', result = 17.388
line 855: op1 = 142.26, op2 = -221.76, op = '*', result = -31547.351
line 866: op1 = -93.52, op2 = -348.11, op = '+', result = -441.630
line 847: op1 = -825.83, op2 = 301.19, op = '/', result = -2.742
line 853: op1 = 34.01, op2 = 187.04, op = '-', result = -153.033
line 856: op1 = 0.04, op2 = 0.34, op = '*', result = 0.012
line 867: op1 = -59.58, op2 = 43.77, op = '+', result = -15.807
line 848: op1 = 28.45, op2 = 11.98, op = '/', result = 2.375
line 854: op1 = -70.59, op2 = 33.28, op = '-', result = -103.863
line 849: op1 = 226.16, op2 = 380.13, op = '/', result = 0.595
line 857: op1 = -51.47, op2 = -65.99, op = '*', result = 3396.618
line 868: op1 = 51.32, op2 = -564.54, op = '+', result = -513.214
line 855: op1 = 142.26, op2 = -221.76, op = '-', result = 364.018
line 850: op1 = -120.78, op2 = -110.99, op = '/', result = 1.088
line 858: op1 = 572.53, op2 = 669.10, op = '*', result = 383081.099
line 869: op1 = -209.76, op2 = 114.00, op = '+', result = -95.760
line 856: op1 = 0.04, op2 = 0.34, op = '-', result = -0.306
line 851: op1 = 8.90, op2 = 16.20, op = '/', result = 0.549
line 859: op1 = 230.90, op2 = -426.81, op = '*', result = -98548.654
line 870: op1 = -117.42, op2 = 244.63, op = '+', result = 127.207
line 857: op1 = -51.47, op2 = -65.99, op = '-', result = 14.518
line 852: op1 = -6.19, op2 = -23.58, op = '/', result = 0.262
line 860: op1 = 67.66, op2 = -57.99, op = '*', result = -3923.861
line 871: op1 = -529.13, op2 = 558.12, op = '+', result = 28.993
line 858: op1 = 572.53, op2 = 669.10, op = '-', result = -96.571
line 872: op1 = -84.50, op2 = -394.32, op = '+', result = -478.813
line 853: op1 = 34.01, op2 = 187.04, op = '/', result = 0.182
line 861: op1 = -271.86, op2 = -391.48, op = '*', result = 106430.884
line 859: op1 = 230.90, op2 = -426.81, op = '-', result = 657.705
line 873: op1 = 6.96, op2 = 25.05, op = '+', result = 32.009
line 854: op1 = -70.59, op2 = 33.28, op = '/', result = -2.121
line 862: op1 = 148.75, op2 = 374.84, op = '*', result = 55756.892
line 860: op1 = 67.66, op2 = -57.99, op = '-', result = 125.654
line 874: op1 = 265.30, op2 = 227.40, op = '+', result = 492.703
line 855: op1 = 142.26, op2 = -221.76, op = '/', result = -0.642
line 863: op1 = -13.77, op2 = -25.48, op = '*', result = 350.820
line 861: op1 = -271.86, op2 = -391.48, op = '-', result = 119.620
line 875: op1 = 2.60, op2 = -25.99, op = '+', result = -23.392
line 856: op1 = 0.04, op2 = 0.34, op = '/', result = 0.105
line 864: op1 = 240.50, op2 = 473.93, op = '*', result = 113980.398
line 862: op1 = 148.75, op2 = 374.84, op = '-', result = -226.096
line 865: op1 = -86.90, op2 = -208.55, op = '*', result = 18122.755
line 876: op1 = -295.46, op2 = -232.14, op = '+', result = -527.600
line 857: op1 = -51.47, op2 = -65.99, op = '/', result = 0.780
line 863: op1 = -13.77, op2 = -25.48, op = '-', result = 11.705
line 866: op1 = -93.52, op2 = -348.11, op = '*', result = 32555.597
line 877: op1 = -316.98, op2 = 87.17, op = '+', result = -229.814
line 858: op1 = 572.53, op2 = 669.10, op = '/', result = 0.856
line 864: op1 = 240.50, op2 = 473.93, op = '-', result = -233.428
line 867: op1 = -59.58, op2 = 43.77, op = '*', result = -2607.872
line 878: op1 = 92.16, op2 = -150.03, op = '+', result = -57.868
line 859: op1 = 230.90, op2 = -426.81, op = '/', result = -0.541
line 865: op1 = -86.90, op2 = -208.55, op = '-', result = 121.656
line 868: op1 = 51.32, op2 = -564.54, op = '*', result = -28972.740
line 879: op1 = 126.39, op2 = 137.59, op = '+', result = 263.981
line 860: op1 = 67.66, op2 = -57.99, op = '/', result = -1.167
line 866: op1 = -93.52, op2 = -348.11, op = '-', result = 254.586
line 861: op1 = -271.86, op2 = -391.48, op = '/', result = 0.694
line 869: op1 = -209.76, op2 = 114.00, op = '*', result = -23912.614
line 880: op1 = 129.77, op2 = -76.17, op = '+', result = 53.603
line 867: op1 = -59.58, op2 = 43.77, op = '-', result = -103.351
line 862: op1 = 148.75, op2 = 374.84, op = '/', result = 0.397
line 870: op1 = -117.42, op2 = 244.63, op = '*', result = -28724.687
line 881: op1 = -314.17, op2 = -675.46, op = '+', result = -989.623
line 868: op1 = 51.32, op2 = -564.54, op = '-', result = 615.857
line 863: op1 = -13.77, op2 = -25.48, op = '/', result = 0.541
line 871: op1 = -529.13, op2 = 558.12, op = '*', result = -295320.569
line 882: op1 = 312.66, op2 = -530.16, op = '+', result = -217.503
line 869: op1 = -209.76, op2 = 114.00, op = '-', result = -323.760
line 864: op1 = 240.50, op2 = 473.93, op = '/', result = 0.507
line 872: op1 = -84.50, op2 = -394.32, op = '*', result = 33318.315
line 883: op1 = 439.33, op2 = -706.75, op = '+', result = -267.420
line 873: op1 = 6.96, op2 = 25.05, op = '*', result = 174.312
line 870: op1 = -117.42, op2 = 244.63, op = '-', result = -362.050
line 865: op1 = -86.90, op2 = -208.55, op = '/', result = 0.417
line 884: op1 = 68.89, op2 = -61.77, op = '+', result = 7.127
line 874: op1 = 265.30, op2 = 227.40, op = '*', result = 60330.057
line 871: op1 = -529.13, op2 = 558.12, op = '-', result = -1087.255
line 866: op1 = -93.52, op2 = -348.11, op = '/', result = 0.269
line 885: op1 = -15.26, op2 = -87.75, op = '+', result = -103.010
line 875: op1 = 2.60, op2 = -25.99, op = '*', result = -67.554
line 872: op1 = -84.50, op2 = -394.32, op = '-', result = 309.820
line 867: op1 = -59.58, op2 = 43.77, op = '/', result = -1.361
line 886: op1 = 112.90, op2 = 258.06, op = '+', result = 370.961
line 876: op1 = -295.46, op2 = -232.14, op = '*', result = 68588.410
line 873: op1 = 6.96, op2 = 25.05, op = '-', result = -18.092
line 868: op1 = 51.32, op2 = -564.54, op = '/', result = -0.091
line 887: op1 = -35.75, op2 = 31.32, op = '+', result = -4.422
line 869: op1 = -209.76, op2 = 114.00, op = '/', result = -1.840
line 877: op1 = -316.98, op2 = 87.17, op = '*', result = -27631.727
line 874: op1 = 265.30, op2 = 227.40, op = '-', result = 37.900
line 888: op1 = 1.89, op2 = 18.93, op = '+', result = 20.823
line 870: op1 = -117.42, op2 = 244.63, op = '/', result = -0.480
line 878: op1 = 92.16, op2 = -150.03, op = '*', result = -13826.442
line 875: op1 = 2.60, op2 = -25.99, op = '-', result = 28.590
line 889: op1 = 136.27, op2 = 224.44, op = '+', result = 360.710
line 871: op1 = -529.13, op2 = 558.12, op = '/', result = -0.948
line 879: op1 = 126.39, op2 = 137.59, op = '*', result = 17390.198
line 876: op1 = -295.46, op2 = -232.14, op = '-', result = -63.312
line 872: op1 = -84.50, op2 = -394.32, op = '/', result = 0.214
line 880: op1 = 129.77, op2 = -76.17, op = '*', result = -9885.229
line 877: op1 = -316.98, op2 = 87.17, op = '-', result = -404.155
line 890: op1 = 101.18, op2 = -189.71, op = '+', result = -88.532
line 873: op1 = 6.96, op2 = 25.05, op = '/', result = 0.278
line 891: op1 = 809.66, op2 = 98.96, op = '+', result = 908.619
line 881: op1 = -314.17, op2 = -675.46, op = '*', result = 212205.846
line 878: op1 = 92.16, op2 = -150.03, op = '-', result = 242.187
line 874: op1 = 265.30, op2 = 227.40, op = '/', result = 1.167
line 892: op1 = 400.43, op2 = -859.45, op = '+', result = -459.026
line 882: op1 = 312.66, op2 = -530.16, op = '*', result = -165761.496
line 879: op1 = 126.39, op2 = 137.59, op = '-', result = -11.199
line 875: op1 = 2.60, op2 = -25.99, op = '/', result = -0.100
line 893: op1 = 166.98, op2 = 166.98, op = '+', result = 333.955
line 883: op1 = 439.33, op2 = -706.75, op = '*', result = -310498.856
line 880: op1 = 129.77, op2 = -76.17, op = '-', result = 205.947
line 876: op1 = -295.46, op2 = -232.14, op = '/', result = 1.273
line 894: op1 = 135.96, op2 = 41.83, op = '+', result = 177.790
line 884: op1 = 68.89, op2 = -61.77, op = '*', result = -4255.188
line 881: op1 = -314.17, op2 = -675.46, op = '-', result = 361.291
line 885: op1 = -15.26, op2 = -87.75, op = '*', result = 1339.126
line 877: op1 = -316.98, op2 = 87.17, op = '/', result = -3.636
line 895: op1 = 145.24, op2 = -3.30, op = '+', result = 141.941
line 882: op1 = 312.66, op2 = -530.16, op = '-', result = 842.825
line 886: op1 = 112.90, op2 = 258.06, op = '*', result = 29135.293
line 878: op1 = 92.16, op2 = -150.03, op = '/', result = -0.614
line 896: op1 = 668.24, op2 = -704.17, op = '+', result = -35.927
line 883: op1 = 439.33, op2 = -706.75, op = '-', result = 1146.084
line 887: op1 = -35.75, op2 = 31.32, op = '*', result = -1119.717
line 879: op1 = 126.39, op2 = 137.59, op = '/', result = 0.919
line 897: op1 = 633.61, op2 = 346.51, op = '+', result = 980.121
line 884: op1 = 68.89, op2 = -61.77, op = '-', result = 130.658
line 888: op1 = 1.89, op2 = 18.93, op = '*', result = 35.834
line 880: op1 = 129.77, op2 = -76.17, op = '/', result = -1.704
line 898: op1 = 122.84, op2 = -24.57, op = '+', result = 98.268
line 885: op1 = -15.26, op2 = -87.75, op = '-', result = 72.489
line 899: op1 = -19.92, op2 = -253.96, op = '+', result = -273.882
line 889: op1 = 136.27, op2 = 224.44, op = '*', result = 30584.329
line 881: op1 = -314.17, op2 = -675.46, op = '/', result = 0.465
line 886: op1 = 112.90, op2 = 258.06, op = '-', result = -145.159
line 900: op1 = 168.03, op2 = 574.85, op = '+', result = 742.878
line 882: op1 = 312.66, op2 = -530.16, op = '/', result = -0.590
line 887: op1 = -35.75, op2 = 31.32, op = '-', result = -67.070
line 901: op1 = 56.81, op2 = 39.33, op = '+', result = 96.137
line 890: op1 = 101.18, op2 = -189.71, op = '*', result = -19194.711
line 883: op1 = 439.33, op2 = -706.75, op = '/', result = -0.622
line 888: op1 = 1.89, op2 = 18.93, op = '-', result = -17.037
line 902: op1 = 146.26, op2 = -468.05, op = '+', result = -321.782
line 891: op1 = 809.66, op2 = 98.96, op = '*', result = 80122.740
line 884: op1 = 68.89, op2 = -61.77, op = '/', result = -1.115
line 889: op1 = 136.27, op2 = 224.44, op = '-', result = -88.174
line 903: op1 = 146.23, op2 = 185.03, op = '+', result = 331.266
line 892: op1 = 400.43, op2 = -859.45, op = '*', result = -344148.460
line 885: op1 = -15.26, op2 = -87.75, op = '/', result = 0.174
line 904: op1 = -437.74, op2 = -612.83, op = '+', result = -1050.572
line 890: op1 = 101.18, op2 = -189.71, op = '-', result = 290.889
line 893: op1 = 166.98, op2 = 166.98, op = '*', result = 27881.440
line 886: op1 = 112.90, op2 = 258.06, op = '/', result = 0.438
line 905: op1 = 79.92, op2 = 19.11, op = '+', result = 99.033
line 891: op1 = 809.66, op2 = 98.96, op = '-', result = 710.702
line 894: op1 = 135.96, op2 = 41.83, op = '*', result = 5687.512
line 887: op1 = -35.75, op2 = 31.32, op = '/', result = -1.141
line 906: op1 = -530.60, op2 = 317.07, op = '+', result = -213.534
line 892: op1 = 400.43, op2 = -859.45, op = '-', result = 1259.881
line 895: op1 = 145.24, op2 = -3.30, op = '*', result = -479.434
line 888: op1 = 1.89, op2 = 18.93, op = '/', result = 0.100
line 907: op1 = -323.88, op2 = 298.18, op = '+', result = -25.705
line 893: op1 = 166.98, op2 = 166.98, op = '-', result = 0.000
line 908: op1 = 191.15, op2 = -86.89, op = '+', result = 104.264
line 896: op1 = 668.24, op2 = -704.17, op = '*', result = -470550.410
line 889: op1 = 136.27, op2 = 224.44, op = '/', result = 0.607
line 894: op1 = 135.96, op2 = 41.83, op = '-', result = 94.124
line 909: op1 = -233.08, op2 = 238.50, op = '+', result = 5.420
line 897: op1 = 633.61, op2 = 346.51, op = '*', result = 219551.909
line 895: op1 = 145.24, op2 = -3.30, op = '-', result = 148.542
line 910: op1 = 110.71, op2 = -320.49, op = '+', result = -209.772
line 898: op1 = 122.84, op2 = -24.57, op = '*', result = -3017.696
line 890: op1 = 101.18, op2 = -189.71, op = '/', result = -0.533
line 896: op1 = 668.24, op2 = -704.17, op = '-', result = 1372.404
line 911: op1 = 363.11, op2 = 233.42, op = '+', result = 596.530
line 899: op1 = -19.92, op2 = -253.96, op = '*', result = 5058.604
line 891: op1 = 809.66, op2 = 98.96, op = '/', result = 8.182
line 897: op1 = 633.61, op2 = 346.51, op = '-', result = 287.106
line 892: op1 = 400.43, op2 = -859.45, op = '/', result = -0.466
line 912: op1 = -474.08, op2 = -347.09, op = '+', result = -821.173
line 900: op1 = 168.03, op2 = 574.85, op = '*', result = 96592.470
line 898: op1 = 122.84, op2 = -24.57, op = '-', result = 147.402
line 893: op1 = 166.98, op2 = 166.98, op = '/', result = 1.000
line 913: op1 = -51.78, op2 = -45.57, op = '+', result = -97.350
line 901: op1 = 56.81, op2 = 39.33, op = '*', result = 2234.182
line 899: op1 = -19.92, op2 = -253.96, op = '-', result = 234.044
line 894: op1 = 135.96, op2 = 41.83, op = '/', result = 3.250
line 914: op1 = 99.93, op2 = 103.26, op = '+', result = 203.196
